"Timestamp","How interested would you be to link your social media (e.g. Facebook) to your account?","How interested would you be to invite friends?","How interested would you be in offers and discounts being given?","How interested would you be in a personal calendar of sports you participate in?","How interested would you be in making a list of your favourite sports you take part in?","How interested would you be in hearing about events being ran?","How interested would you be having someone to go to the gym with?","How interested would you be to find out who's is attending an event?","How interested would you be to message them before meeting?","How interested would you be in competing against your friends for points based on attendance?","How interested would you be in booking equipment before attending?","How interested would you be in booking space for your sport?"
"2017/05/10 5:00:53 PM GMT+2","1","3","3","3","3","3","5","4","4","2","3","4"
"2017/05/11 1:47:57 AM GMT+2","2","3","3","2","3","3","5","3","5","3","3","1"
"2017/05/11 1:49:21 AM GMT+2","1","2","4","2","3","3","5","3","3","4","1","3"
"2017/05/11 1:50:18 AM GMT+2","1","1","3","2","2","3","4","3","3","1","3","4"
"2017/05/11 1:51:16 AM GMT+2","2","2","4","3","2","3","4","3","4","1","3","4"
"2017/05/11 1:55:21 AM GMT+2","2","2","5","4","3","4","5","3","4","2","3","3"
"2017/05/11 1:56:22 AM GMT+2","1","1","3","3","3","3","5","3","3","1","4","4"
"2017/05/11 1:58:24 AM GMT+2","4","2","4","2","3","4","5","3","4","2","3","4"
"2017/05/11 1:59:24 AM GMT+2","1","1","4","3","3","3","4","3","4","1","4","3"
"2017/05/11 2:00:24 AM GMT+2","2","2","3","3","2","3","5","3","4","1","4","4"
"2017/05/11 2:01:21 AM GMT+2","1","2","3","3","3","4","5","3","4","2","4","3"
"2017/05/11 2:02:36 AM GMT+2","1","3","5","4","2","5","3","4","4","2","4","3"
"2017/05/11 2:03:32 AM GMT+2","1","1","4","2","2","3","4","3","3","2","4","4"
"2017/05/11 2:04:27 AM GMT+2","1","2","4","2","2","3","5","3","3","1","3","3"
"2017/05/11 2:07:14 AM GMT+2","1","1","4","2","3","4","5","3","4","2","3","4"
"2017/05/11 2:08:12 AM GMT+2","1","2","3","2","2","4","5","3","4","2","3","3"
"2017/05/11 2:08:54 AM GMT+2","2","2","4","3","2","4","5","3","3","4","4","4"
"2017/05/11 2:09:36 AM GMT+2","2","1","3","3","3","4","5","3","3","1","3","4"
"2017/05/11 2:10:44 AM GMT+2","3","2","1","3","4","2","3","3","4","1","3","4"
"2017/05/11 2:11:38 AM GMT+2","1","2","2","2","2","3","5","3","3","1","3","4"
"2017/05/11 2:12:59 AM GMT+2","3","2","1","3","3","5","3","3","4","2","4","4"
"2017/05/11 2:14:24 AM GMT+2","1","3","3","2","3","4","4","3","3","2","3","3"
"2017/05/11 2:15:49 AM GMT+2","3","1","3","3","3","4","5","3","3","2","4","4"
"2017/05/11 2:16:40 AM GMT+2","1","1","3","3","2","3","5","3","3","2","3","3"
"2017/05/11 2:17:39 AM GMT+2","1","2","3","2","3","3","4","3","4","1","4","3"
"2017/05/11 10:14:54 AM GMT+2","1","2","3","3","3","4","3","3","1","1","3","3"
"2017/05/11 10:15:03 AM GMT+2","2","2","1","2","3","3","3","5","3","3","4","4"
"2017/05/11 10:16:34 AM GMT+2","1","1","4","3","2","3","4","5","3","2","4","4"
"2017/05/11 10:16:59 AM GMT+2","2","1","3","2","3","3","4","3","3","1","4","4"
"2017/05/11 10:19:28 AM GMT+2","1","2","4","3","3","3","4","3","4","2","4","3"
"2017/05/11 10:19:33 AM GMT+2","2","2","4","2","2","3","4","3","3","1","3","3"
"2017/05/11 10:20:52 AM GMT+2","2","1","3","2","3","3","4","3","4","1","3","3"
"2017/05/11 10:23:51 AM GMT+2","1","1","3","2","4","3","5","3","3","2","3","3"
"2017/05/11 10:24:15 AM GMT+2","2","2","3","2","2","3","4","3","3","2","4","3"
"2017/05/11 10:25:51 AM GMT+2","4","3","3","2","2","4","4","3","3","2","3","3"
"2017/05/11 10:27:51 AM GMT+2","2","4","3","2","2","3","3","4","3","2","3","3"
"2017/05/11 10:28:16 AM GMT+2","3","4","5","4","5","3","5","3","4","3","4","4"
"2017/05/11 10:29:08 AM GMT+2","1","2","3","4","3","3","4","3","3","4","4","4"
"2017/05/11 10:29:30 AM GMT+2","2","2","3","3","3","3","5","3","3","2","4","4"
"2017/05/11 10:31:05 AM GMT+2","2","1","2","3","4","3","3","4","3","2","4","4"
"2017/05/11 10:32:18 AM GMT+2","1","2","3","2","3","5","3","4","4","2","3","4"
"2017/05/11 10:34:20 AM GMT+2","2","2","3","2","2","3","3","4","3","4","4","4"
"2017/05/11 10:34:27 AM GMT+2","2","1","3","3","3","4","5","3","4","2","3","4"
"2017/05/11 10:35:58 AM GMT+2","2","1","4","3","3","4","5","3","3","4","4","4"
"2017/05/11 10:39:10 AM GMT+2","3","3","2","4","3","4","4","4","3","3","2","4"
"2017/05/11 10:40:45 AM GMT+2","1","2","3","4","3","4","2","4","2","1","4","4"
"2017/05/11 10:40:52 AM GMT+2","4","4","3","4","2","3","3","4","2","3","4","4"
"2017/05/11 10:43:16 AM GMT+2","1","2","3","4","2","5","3","4","2","1","3","4"
"2017/05/11 10:45:24 AM GMT+2","2","1","4","3","1","4","2","3","4","2","3","3"
"2017/05/11 10:45:34 AM GMT+2","2","2","3","4","4","3","4","3","4","3","3","4"
"2017/05/11 10:45:35 AM GMT+2","2","3","3","3","5","3","4","3","4","2","4","3"
"2017/05/11 10:47:28 AM GMT+2","3","4","2","1","3","4","3","2","3","3","1","1"
"2017/05/11 10:48:24 AM GMT+2","3","2","3","3","3","3","4","4","3","4","4","4"
